companySlug,jobTitle,jobLink
goodsmile,【新卒採用】総合職,https://herp.careers/careers/companies/goodsmile/jobs/eQhrEKIH782Q
goodsmile,【製造部】フィギュア・プラモデルの製造設計・構造設計,https://herp.careers/careers/companies/goodsmile/jobs/A-1L6AvIHGkY
goodsmile,【製造部】開発・生産推進担当（文系出身者も活躍中）,https://herp.careers/careers/companies/goodsmile/jobs/MgRbxZwdVHqY
upsider,A001. オープンポジション,https://herp.careers/careers/companies/upsider/jobs/2xfHrqq_w-iz
upsider,A002. Backend Engineer【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/L0igRUH2YwtG
upsider,A003. Growth Partner(Sales & Success) - Manager候補【正社員 / 02 / Biz】,https://herp.careers/careers/companies/upsider/jobs/5r6UGoMep8NT
upsider,A006. Project Manager(UPSIDER AI経理) 【正社員 / 03 / Biz】,https://herp.careers/careers/companies/upsider/jobs/J6gA9u6ArLjk
upsider,A101. マーケティング(支払い.com)【正社員 / 03 / Biz】,https://herp.careers/careers/companies/upsider/jobs/ksFDd5jjU-DE
upsider,B106. 事業開発(UPSIDER AI経理)【正社員 / 03 / Biz】,https://herp.careers/careers/companies/upsider/jobs/bLjHuwJ4VtoJ
upsider,B113. BizDev(PRESIDENT CARD)【正社員 / 03 / Biz】,https://herp.careers/careers/companies/upsider/jobs/aNWp6o7VvKOh
upsider,B127. Project Manager(大手企業との共同プロジェクト)【正社員 / 03 / Biz】,https://herp.careers/careers/companies/upsider/jobs/w2ccAZG_1lL4
upsider,B128. カスタマーサクセス(UPSIDER AI経理)【正社員 / 03 / Biz】,https://herp.careers/careers/companies/upsider/jobs/IqqA_CL1XygN
upsider,B129. Partner Alliance(UPSIDER AI経理)【正社員 / 03 / Biz】,https://herp.careers/careers/companies/upsider/jobs/Jo5HN0PfRk9T
upsider,B130. BizDev(White Label事業)【正社員 / 03 / Biz】,https://herp.careers/careers/companies/upsider/jobs/pIJwZ4kn92VD
upsider,B157. Designer Intern【インターン / 03 / Designer】,https://herp.careers/careers/companies/upsider/jobs/4WfGSlZkAAvC
upsider,B200. Backend Engineer(支払い.com)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/Hf8BF1-lBZqO
upsider,B201. FullStack Engineer(Card Product)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/JCw_4dQHAKHS
upsider,B202. Product Manager【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/5bnWULmN7cT4
upsider,B204. Engineer Manager【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/oLKxsFEJ46_C
upsider,B205. Project Manager(Product Owner候補)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/uVyR970falC1
upsider,B206. FullStack Engineer(Credit App)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/-xsQOW08RSdD
upsider,B207. Mobile App Engineer(Tech Lead / Flutter)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/YzuL55iY3vdl
upsider,B208. Analytics Engineer【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/ecm0p1nPleIg
upsider,B209. Data Scientist【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/zcWlBu3CI7MT
upsider,B221. Backend Engineer(決済基盤開発)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/djdwtREK7R16
upsider,B223. FullStack Engineer(UPSIDER AI経理)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/qHzXcXKNYbT3
upsider,B224. Backend Engineer(UPSIDER AI経理)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/ZCe3riv7qGIV
upsider,B227. Tech Lead(新規事業の基盤開発)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/-vFEzB5b1uhz
upsider,B230. FullStack Engineer(不正利用対策/新規開発)【業務委託 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/W5JJDWNjzLAU
upsider,B231. Tech Lead(Fintech Core Systemの開発)【正社員 / 01 / Tech】,https://herp.careers/careers/companies/upsider/jobs/PI6tr2hYFsGT
upsider,B235. Product Designer【正社員 / 01 / Designer】,https://herp.careers/careers/companies/upsider/jobs/4Ilxh6UvQOnF
